#CAMI Submission for Taxonomic Profiling
@Version:0.9.2
@SampleID:pensive_curie_9
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
142187	phylum	2|142187	Bacteria|Candidatus Hydrogenedentes	0.00288246739209
1301283	phylum	2|1117|1301283	Bacteria|Cyanobacteria|Oscillatoriophycideae	0.00144123369604
651137	phylum	2157|651137	Archaea|Thaumarchaeota	0.0951214239389
456828	phylum	2|456828	Bacteria|Cloacimonetes	0.0129711032644
508458	phylum	2|508458	Bacteria|Synergistetes	0.158535706565
201174	phylum	2|201174	Bacteria|Actinobacteria	18.2186351517
1297	phylum	2|1297	Bacteria|Deinococcus-Thermus	0.504431793615
200783	phylum	2|200783	Bacteria|Aquificae	0.309865244649
32066	phylum	2|32066	Bacteria|Fusobacteria	0.441017510989
203691	phylum	2|203691	Bacteria|Spirochaetes	0.824385674137
204428	phylum	2|204428	Bacteria|Chlamydiae	0.279599337032
67820	phylum	2|67820	Bacteria|Candidatus Microgenomates	0.00576493478418
40117	phylum	2|40117	Bacteria|Nitrospirae	0.168624342437
1052815	phylum	2|1052815	Bacteria|Candidatus Aerophobetes	0.00432370108813
544448	phylum	2|544448	Bacteria|Tenericutes	1.09101390791
67812	phylum	2|67812	Bacteria|Omnitrophica	0.00432370108813
51967	phylum	2157|51967	Archaea|Candidatus Korarchaeota	0.00288246739209
1293497	phylum	2|1293497	Bacteria|Nitrospinae	0.0864740217626
28889	phylum	2157|28889	Archaea|Crenarchaeota	0.128269798948
74015	phylum	2|74015	Bacteria|Latescibacteria	0.00720616848022
4761	phylum	2759|4761	Eukaryota|Chytridiomycota	0.0259422065288
221216	phylum	2|221216	Bacteria|Candidatus Parcubacteria	0.00864740217626
67814	phylum	2|67814	Bacteria|Caldiserica	0.0245009728327
95818	phylum	2|95818	Bacteria|Candidatus Saccharibacteria	0.0100886358723
1462430	phylum	2157|1462430	Archaea|Candidatus Nanohaloarchaeota	0.00576493478418
192989	phylum	2157|192989	Archaea|Nanoarchaeota	0.00288246739209
67810	phylum	2|67810	Bacteria|Candidatus Acetothermia	0.00144123369604
67819	phylum	2|67819	Bacteria|Armatimonadetes	0.00144123369604
200930	phylum	2|200930	Bacteria|Deferribacteres	0.0403545434892
1379697	phylum	2|1379697	Bacteria|candidate division Zixibacteria	0.00144123369604
1090	phylum	2|1090	Bacteria|Chlorobi	0.0749441521943
422282	phylum	2|422282	Bacteria|candidate division WWE3	0.00144123369604
363464	phylum	2|363464	Bacteria|Candidatus Gracilibacteria	0.00288246739209
7711	phylum	2759|7711	Eukaryota|Chordata	0.0230597391367
200940	phylum	2|200940	Bacteria|Thermodesulfobacteria	0.0518844130576
142182	phylum	2|142182	Bacteria|Gemmatimonadetes	0.0590905815378
68297	phylum	2|68297	Bacteria|Dictyoglomi	0.0115298695684
65842	phylum	2|65842	Bacteria|Fibrobacteres	0.00288246739209
256845	phylum	2|256845	Bacteria|Lentisphaerae	0.00144123369604
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	10.8519655122
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinobacteria	17.8956597983
31969	class	2|544448|31969	Bacteria|Tenericutes|Mollicutes	1.1077013006
117747	class	2|976|117747	Bacteria|Bacteroidetes|Sphingobacteriia	0.701446733889
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	3.35525354377
388435	class	2759|4890|147547|388435	Eukaryota|Ascomycota|Lecanoromycetes|Lecanoromycetidae	0.00292269472454
414999	class	2|74201|414999	Bacteria|Verrucomicrobia|Opitutae	0.0555311997662
147545	class	2759|4890|147545	Eukaryota|Ascomycota|Eurotiomycetes	0.400409177261
219685	class	2|142182|219685	Bacteria|Gemmatimonadetes|Gemmatimonadetes	0.0613765892153
85003	class	2|201174|85003	Bacteria|Actinobacteria|Actinobacteria	0.00292269472454
475962	class	2|200795|475962	Bacteria|Chloroflexi|Caldilineae	0.00876808417361
5257	class	2759|5204|5257	Eukaryota|Basidiomycota|Ustilaginomycetes	0.0789127575625
222544	class	2759|4890|147550|222544	Eukaryota|Ascomycota|Sordariomycetes|Sordariomycetidae	0.00292269472454
222543	class	2759|4890|147550|222543	Eukaryota|Ascomycota|Sordariomycetes|Hypocreomycetidae	0.00292269472454
183963	class	2157|28890|183963	Archaea|Euryarchaeota|Halobacteria	1.09893321643
147550	class	2759|4890|147550	Eukaryota|Ascomycota|Sordariomycetes	0.324419114423
84995	class	2|201174|84995	Bacteria|Actinobacteria|Rubrobacteria	0.037995031419
188787	class	2|1297|188787	Bacteria|Deinococcus-Thermus|Deinococci	0.511471576794
29547	class	2|1224|29547	Bacteria|Proteobacteria|Epsilonproteobacteria	1.35905304691
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	1.70977641385
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	6.64036241415
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	14.0493935408
580370	class	2|1224|580370	Bacteria|Proteobacteria|Zetaproteobacteria	0.0526085050416
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	22.4959812948
203693	class	2|40117|203693	Bacteria|Nitrospirae|Nitrospira	0.172438988748
187857	class	2|200783|187857	Bacteria|Aquificae|Aquificae	0.31565103025
1313211	class	2|256845|1313211	Bacteria|Lentisphaerae|Lentisphaeria	0.00292269472454
155619	class	2759|5204|155619	Eukaryota|Basidiomycota|Agaricomycetes	0.137366652053
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	6.21364898436
147541	class	2759|4890|147541	Eukaryota|Ascomycota|Dothideomycetes	0.105217010083
200643	class	2|976|200643	Bacteria|Bacteroidetes|Bacteroidia	2.81455501973
183925	class	2157|28890|183925	Archaea|Euryarchaeota|Methanobacteria	0.18705246237
649775	class	2|508458|649775	Bacteria|Synergistetes|Synergistia	0.157825515125
1497346	class	2|201174|1497346	Bacteria|Actinobacteria|Thermoleophilia	0.113985094257
203490	class	2|32066|203490	Bacteria|Fusobacteria|Fusobacteriia	0.447172292854
203692	class	2|203691|203692	Bacteria|Spirochaetes|Spirochaetia	0.835890691217
204429	class	2|204428|204429	Bacteria|Chlamydiae|Chlamydiia	0.28350138828
188708	class	2|200918|188708	Bacteria|Thermotogae|Thermotogae	0.242583662136
768503	class	2|976|768503	Bacteria|Bacteroidetes|Cytophagia	0.569925471285
183968	class	2157|28890|183968	Archaea|Euryarchaeota|Thermococci	0.309805640801
1643678	class	2157|651137|1643678	Archaea|Thaumarchaeota|Nitrososphaeria	0.0350723366944
4891	class	2759|4890|4891	Eukaryota|Ascomycota|Saccharomycetes	0.493935408447
1293498	class	2|1293497|1293498	Bacteria|Nitrospinae|Nitrospinia	0.0876808417361
204432	class	2|57723|204432	Bacteria|Acidobacteria|Acidobacteriia	0.122753178431
526524	class	2|1239|526524	Bacteria|Firmicutes|Erysipelotrichia	0.356568756393
84998	class	2|201174|84998	Bacteria|Actinobacteria|Coriobacteriia	0.37995031419
224756	class	2157|28890|224756	Archaea|Euryarchaeota|Methanomicrobia	0.298114861903
203683	class	2|203682|203683	Bacteria|Planctomycetes|Planctomycetia	0.192897851819
909932	class	2|1239|909932	Bacteria|Firmicutes|Negativicutes	0.938185006576
1737404	class	2|1239|1737404	Bacteria|Firmicutes|Tissierellia	0.318573724974
162481	class	2759|5204|162481	Eukaryota|Basidiomycota|Microbotryomycetes	0.0146134736227
451435	class	2759|4761|451435	Eukaryota|Chytridiomycota|Chytridiomycetes	0.0263042525208
388447	class	2|200795|388447	Bacteria|Chloroflexi|Ktedonobacteria	0.0233815577963
183924	class	2157|28889|183924	Archaea|Crenarchaeota|Thermoprotei	0.125675873155
203494	class	2|74201|203494	Bacteria|Verrucomicrobia|Verrucomicrobiae	0.143212041502
155616	class	2759|5204|155616	Eukaryota|Basidiomycota|Tremellomycetes	0.0759900628379
183939	class	2157|28890|183939	Archaea|Euryarchaeota|Methanococci	0.0613765892153
452283	class	2759|5204|452283	Eukaryota|Basidiomycota|Exobasidiomycetes	0.0233815577963
84992	class	2|201174|84992	Bacteria|Actinobacteria|Acidimicrobiia	0.0467631155926
183967	class	2157|28890|183967	Archaea|Euryarchaeota|Thermoplasmata	0.0409177261435
533205	class	2|57723|533205	Bacteria|Acidobacteria|Holophagae	0.0292269472454
1051663	class	2157|1462430|1051663	Archaea|Candidatus Nanohaloarchaeota|Nanohaloarchaea	0.00584538944907
301297	class	2|200795|301297	Bacteria|Chloroflexi|Dehalococcoidia	0.0263042525208
183980	class	2157|28890|183980	Archaea|Euryarchaeota|Archaeoglobi	0.0233815577963
68337	class	2|200930|68337	Bacteria|Deferribacteres|Deferribacteres	0.0409177261435
32061	class	2|200795|32061	Bacteria|Chloroflexi|Chloroflexia	0.0906035364606
189775	class	2|200795|189775	Bacteria|Chloroflexi|Thermomicrobia	0.00876808417361
147554	class	2759|4890|147554	Eukaryota|Ascomycota|Schizosaccharomycetes	0.0233815577963
191410	class	2|1090|191410	Bacteria|Chlorobi|Chlorobia	0.0759900628379
1562566	class	2|57723|1562566	Bacteria|Acidobacteria|Blastocatellia	0.00584538944907
40674	class	2759|7711|40674	Eukaryota|Chordata|Mammalia	0.0233815577963
67799	class	2|200940|67799	Bacteria|Thermodesulfobacteria|Thermodesulfobacteria	0.0526085050416
693071	class	2|67814|693071	Bacteria|Caldiserica|Caldisericia	0.0233815577963
292625	class	2|200795|292625	Bacteria|Chloroflexi|Anaerolineae	0.0146134736227
203486	class	2|68297|203486	Bacteria|Dictyoglomi|Dictyoglomia	0.0116907788981
147548	class	2759|4890|147548	Eukaryota|Ascomycota|Leotiomycetes	0.0116907788981
307596	class	2|1117|307596	Bacteria|Cyanobacteria|Gloeobacteria	0.00584538944907
204430	class	2|65842|204430	Bacteria|Fibrobacteres|Fibrobacteria	0.00292269472454
80811	order	2|1224|28221|29|80811	Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Cystobacterineae	0.0055635918549
204441	order	2|1224|28211|204441	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	0.923556247914
1150	order	2|1117|1150	Bacteria|Cyanobacteria|Oscillatoriales	0.250361633471
72273	order	2|1224|1236|72273	Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales	0.534104818071
72274	order	2|1224|1236|72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	5.64704573273
118969	order	2|1224|1236|118969	Bacteria|Proteobacteria|Gammaproteobacteria|Legionellales	0.317124735729
48461	order	2|74201|203494|48461	Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	0.139089796373
54526	order	2|1224|28211|54526	Bacteria|Proteobacteria|Alphaproteobacteria|Pelagibacterales	0.172471347502
414714	order	2|201174|1760|414714	Bacteria|Actinobacteria|Actinobacteria|Catenulisporales	0.0278179592745
1118	order	2|1117|1118	Bacteria|Cyanobacteria|Chroococcales	0.539668409925
451442	order	2759|4761|451435|451442	Eukaryota|Chytridiomycota|Chytridiomycetes|Rhizophydiales	0.0055635918549
135618	order	2|1224|1236|135618	Bacteria|Proteobacteria|Gammaproteobacteria|Methylococcales	0.289306776455
135619	order	2|1224|1236|135619	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales	1.20729943251
135613	order	2|1224|1236|135613	Bacteria|Proteobacteria|Gammaproteobacteria|Chromatiales	1.3074440859
135614	order	2|1224|1236|135614	Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales	1.05708245243
597358	order	2|1224|28211|597358	Bacteria|Proteobacteria|Alphaproteobacteria|Kiloniellales	0.0055635918549
231213	order	2759|5204|162481|231213	Eukaryota|Basidiomycota|Microbotryomycetes|Sporidiobolales	0.0166907755647
588673	order	2|201174|1497346|588673	Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales	0.111271837098
2037	order	2|201174|1760|2037	Bacteria|Actinobacteria|Actinobacteria|Actinomycetales	0.534104818071
213849	order	2|1224|29547|213849	Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales	1.20729943251
225057	order	2|1224|1236|225057	Bacteria|Proteobacteria|Gammaproteobacteria|Acidithiobacillales	0.105708245243
171549	order	2|976|200643|171549	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	2.68165127406
356	order	2|1224|28211|356	Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	6.40925781685
69541	order	2|1224|28221|69541	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfuromonadales	0.244798041616
189776	order	2|200795|189775|189776	Bacteria|Chloroflexi|Thermomicrobia|Thermomicrobiales	0.0055635918549
909929	order	2|1239|909932|909929	Bacteria|Firmicutes|Negativicutes|Selenomonadales	0.895738288639
5139	order	2759|4890|147550|5139	Eukaryota|Ascomycota|Sordariomycetes|Sordariales	0.0166907755647
206350	order	2|1224|28216|206350	Bacteria|Proteobacteria|Betaproteobacteria|Methylophilales	0.278179592745
206351	order	2|1224|28216|206351	Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales	0.684321798153
2182	order	2157|28890|183939|2182	Archaea|Euryarchaeota|Methanococci|Methanococcales	0.0611995104039
2235	order	2157|28890|183963|2235	Archaea|Euryarchaeota|Halobacteria|Halobacteriales	0.289306776455
85009	order	2|201174|1760|85009	Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales	0.795593635251
85006	order	2|201174|1760|85006	Bacteria|Actinobacteria|Actinobacteria|Micrococcales	2.82074107044
85007	order	2|201174|1760|85007	Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales	3.00433960165
53433	order	2|1239|186801|53433	Bacteria|Firmicutes|Clostridia|Halanaerobiales	0.0667631022588
1202465	order	2|200795|301297|1202465	Bacteria|Chloroflexi|Dehalococcoidia|Dehalococcoidales	0.0278179592745
213462	order	2|1224|28221|213462	Bacteria|Proteobacteria|Deltaproteobacteria|Syntrophobacterales	0.0890174696784
5125	order	2759|4890|147550|5125	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales	0.200289306776
34395	order	2759|4890|147545|34395	Eukaryota|Ascomycota|Eurotiomycetes|Chaetothyriales	0.111271837098
766	order	2|1224|28211|766	Bacteria|Proteobacteria|Alphaproteobacteria|Rickettsiales	0.628685879604
224462	order	2|1224|28221|29|224462	Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Nannocystineae	0.0055635918549
28883	order	10239|28883	Viruses|Caudovirales	1.95838433293
1385	order	2|1239|91061|1385	Bacteria|Firmicutes|Bacilli|Bacillales	6.95448981863
1161	order	2|1117|1161	Bacteria|Cyanobacteria|Nostocales	0.339379103149
68295	order	2|1239|186801|68295	Bacteria|Firmicutes|Clostridia|Thermoanaerobacterales	0.350506286859
32069	order	2|200783|187857|32069	Bacteria|Aquificae|Aquificae|Aquificales	0.228107266051
32064	order	2|200795|32061|32064	Bacteria|Chloroflexi|Chloroflexia|Chloroflexales	0.0890174696784
5042	order	2759|4890|147545|5042	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales	0.200289306776
204457	order	2|1224|28211|204457	Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	1.83042172026
204455	order	2|1224|28211|204455	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales	2.75397796818
203491	order	2|32066|203490|203491	Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales	0.428396572827
80840	order	2|1224|28216|80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	4.67341715812
186826	order	2|1239|91061|186826	Bacteria|Firmicutes|Bacilli|Lactobacillales	3.37710025593
4892	order	2759|4890|4891|4892	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales	0.472905307667
51291	order	2|204428|204429|51291	Bacteria|Chlamydiae|Chlamydiia|Chlamydiales	0.27261600089
135625	order	2|1224|1236|135625	Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales	0.689885390008
135624	order	2|1224|1236|135624	Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales	0.940247023478
135623	order	2|1224|1236|135623	Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales	1.75253143429
135622	order	2|1224|1236|135622	Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales	1.75809502615
114380	order	2157|28889|183924|114380	Archaea|Crenarchaeota|Thermoprotei|Desulfurococcales	0.0278179592745
29	order	2|1224|28221|29	Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales	0.222543674196
213118	order	2|1224|28221|213118	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales	0.216980082341
213115	order	2|1224|28221|213115	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	0.606431512184
292629	order	2|200795|292625|292629	Bacteria|Chloroflexi|Anaerolineae|Anaerolineales	0.0166907755647
452339	order	2759|5204|155619|452339	Eukaryota|Basidiomycota|Agaricomycetes|Gloeophyllales	0.0055635918549
85013	order	2|201174|1760|85013	Bacteria|Actinobacteria|Actinobacteria|Frankiales	0.2837431846
85012	order	2|201174|1760|85012	Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales	0.500723266941
85014	order	2|201174|1760|85014	Bacteria|Actinobacteria|Actinobacteria|Glycomycetales	0.0778902859686
218872	order	2|65842|204430|218872	Bacteria|Fibrobacteres|Fibrobacteria|Fibrobacterales	0.0055635918549
2419	order	2|200918|188708|2419	Bacteria|Thermotogae|Thermotogae|Thermotogales	0.200289306776
200644	order	2|976|117743|200644	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	3.182374541
200666	order	2|976|117747|200666	Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales	0.667631022588
713636	order	2|1224|28216|713636	Bacteria|Proteobacteria|Betaproteobacteria|Gallionellales	0.0890174696784
5303	order	2759|5204|155619|5303	Eukaryota|Basidiomycota|Agaricomycetes|Polyporales	0.0723266941137
136	order	2|203691|203692|136	Bacteria|Spirochaetes|Spirochaetia|Spirochaetales	0.57861355291
186802	order	2|1239|186801|186802	Bacteria|Firmicutes|Clostridia|Clostridiales	5.5023923445
768507	order	2|976|768503|768507	Bacteria|Bacteroidetes|Cytophagia|Cytophagales	0.54523200178
1212	order	2|1117|1212	Bacteria|Cyanobacteria|Prochlorales	0.879047513074
85011	order	2|201174|1760|85011	Bacteria|Actinobacteria|Actinobacteria|Streptomycetales	6.49271169467
92860	order	2759|4890|147541|92860	Eukaryota|Ascomycota|Dothideomycetes|Pleosporales	0.0945810615333
91347	order	2|1224|1236|91347	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales	5.41337487482
68933	order	2|1297|188787|68933	Bacteria|Deinococcus-Thermus|Deinococci|Thermales	0.29487036831
235899	order	2|1224|29547|235899	Bacteria|Proteobacteria|Epsilonproteobacteria|Nautiliales	0.0611995104039
2158	order	2157|28890|183925|2158	Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales	0.178034939357
85008	order	2|201174|1760|85008	Bacteria|Actinobacteria|Actinobacteria|Micromonosporales	0.461778123957
204458	order	2|1224|28211|204458	Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales	0.506286858796
85010	order	2|201174|1760|85010	Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales	0.762212084122
206389	order	2|1224|28216|206389	Bacteria|Proteobacteria|Betaproteobacteria|Rhodocyclales	0.372760654278
464095	order	10239|464095	Viruses|Picornavirales	0.333815511294
649776	order	2|508458|649775|649776	Bacteria|Synergistetes|Synergistia|Synergistales	0.150216980082
415000	order	2|74201|414999|415000	Bacteria|Verrucomicrobia|Opitutae|Opitutales	0.0500723266941
11157	order	10239|11157	Viruses|Mononegavirales	0.194725714922
1706369	order	2|1224|1236|1706369	Bacteria|Proteobacteria|Gammaproteobacteria|Cellvibrionales	0.211416490486
1643686	order	2|203691|203692|1643686	Bacteria|Spirochaetes|Spirochaetia|Brachyspirales	0.055635918549
189778	order	2|40117|203693|189778	Bacteria|Nitrospirae|Nitrospira|Nitrospirales	0.161344163792
85004	order	2|201174|1760|85004	Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales	1.04039167687
2258	order	2157|28890|183968|2258	Archaea|Euryarchaeota|Thermococci|Thermococcales	0.29487036831
548681	order	10239|548681	Viruses|Herpesvirales	0.289306776455
1033996	order	2157|651137|1643678|1033996	Archaea|Thaumarchaeota|Nitrososphaeria|Nitrososphaerales	0.0333815511294
186328	order	2|544448|31969|186328	Bacteria|Tenericutes|Mollicutes|Entomoplasmatales	0.111271837098
675063	order	10239|675063	Viruses|Tymovirales	0.200289306776
186329	order	2|544448|31969|186329	Bacteria|Tenericutes|Mollicutes|Acholeplasmatales	0.127962612663
213113	order	2|1224|28221|213113	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfurellales	0.0611995104039
32003	order	2|1224|28216|32003	Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales	0.0945810615333
76804	order	10239|76804	Viruses|Nidovirales	0.0389451429843
1644055	order	2157|28890|183963|1644055	Archaea|Euryarchaeota|Halobacteria|Haloferacales	0.456214532102
118964	order	2|1297|188787|118964	Bacteria|Deinococcus-Thermus|Deinococci|Deinococcales	0.189162123067
1293499	order	2|1293497|1293498|1293499	Bacteria|Nitrospinae|Nitrospinia|Nitrospinales	0.0834538778235
204433	order	2|57723|204432|204433	Bacteria|Acidobacteria|Acidobacteriia|Acidobacteriales	0.116835428953
526525	order	2|1239|526524|526525	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales	0.339379103149
1643822	order	2|201174|84998|1643822	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales	0.144653388227
5267	order	2759|5204|5257|5267	Eukaryota|Basidiomycota|Ustilaginomycetes|Ustilaginales	0.0723266941137
2085	order	2|544448|31969|2085	Bacteria|Tenericutes|Mollicutes|Mycoplasmatales	0.806720818961
622450	order	2|201174|1760|622450	Bacteria|Actinobacteria|Actinobacteria|Actinopolysporales	0.0333815511294
94695	order	2157|28890|224756|94695	Archaea|Euryarchaeota|Methanomicrobia|Methanosarcinales	0.150216980082
112	order	2|203682|203683|112	Bacteria|Planctomycetes|Planctomycetia|Planctomycetales	0.139089796373
1644060	order	2157|28890|183963|1644060	Archaea|Euryarchaeota|Halobacteria|Natrialbales	0.300433960165
1643946	order	2|200918|188708|1643946	Bacteria|Thermotogae|Thermotogae|Kosmotogales	0.0333815511294
4827	order	2759|4827	Eukaryota|Mucorales	0.0222543674196
52604	order	2|1117|52604	Bacteria|Cyanobacteria|Pleurocapsales	0.0333815511294
34478	order	2759|4761|451435|34478	Eukaryota|Chytridiomycota|Chytridiomycetes|Spizellomycetales	0.0222543674196
255473	order	2|1224|28211|255473	Bacteria|Proteobacteria|Alphaproteobacteria|Parvularculales	0.0333815511294
213481	order	2|1224|28221|213481	Bacteria|Proteobacteria|Deltaproteobacteria|Bdellovibrionales	0.155780571937
1737405	order	2|1239|1737404|1737405	Bacteria|Firmicutes|Tissierellia|Tissierellales	0.29487036831
768667	order	2|200795|388447|768667	Bacteria|Chloroflexi|Ktedonobacteria|Thermogemmatisporales	0.0222543674196
570264	order	2157|28890|224756|570264	Archaea|Euryarchaeota|Methanomicrobia|Methanocellales	0.0222543674196
2281	order	2157|28889|183924|2281	Archaea|Crenarchaeota|Thermoprotei|Sulfolobales	0.0333815511294
5114	order	2759|4890|147550|5114	Eukaryota|Ascomycota|Sordariomycetes|Diaporthales	0.0445087348392
33183	order	2759|4890|147545|33183	Eukaryota|Ascomycota|Eurotiomycetes|Onygenales	0.0500723266941
5592	order	2759|4890|147550|5592	Eukaryota|Ascomycota|Sordariomycetes|Microascales	0.0222543674196
84999	order	2|201174|84998|84999	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	0.216980082341
1189	order	2|1117|1189	Bacteria|Cyanobacteria|Stigonematales	0.0723266941137
146291	order	2759|4890|147545|146291	Eukaryota|Ascomycota|Eurotiomycetes|Verrucariales	0.0222543674196
1100069	order	2|976|1100069	Bacteria|Bacteroidetes|Bacteroidetes Order II. Incertae sedis	0.0834538778235
5234	order	2759|5204|155616|5234	Eukaryota|Basidiomycota|Tremellomycetes|Tremellales	0.0723266941137
31932	order	2157|651137|31932	Archaea|Thaumarchaeota|Nitrosopumilales	0.0778902859686
62913	order	2759|5204|452283|62913	Eukaryota|Basidiomycota|Exobasidiomycetes|Georgefischeriales	0.0222543674196
84993	order	2|201174|84992|84993	Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales	0.0445087348392
2301	order	2157|28890|183967|2301	Archaea|Euryarchaeota|Thermoplasmata|Thermoplasmatales	0.0166907755647
580371	order	2|1224|580370|580371	Bacteria|Proteobacteria|Zetaproteobacteria|Mariprofundales	0.0222543674196
574975	order	2|57723|533205|574975	Bacteria|Acidobacteria|Holophagae|Holophagales	0.0278179592745
1485951	order	2|200783|187857|1485951	Bacteria|Aquificae|Aquificae|Desulfurobacteriales	0.0723266941137
1511857	order	10239|1511857	Viruses|Ligamenvirales	0.0445087348392
5338	order	2759|5204|155619|5338	Eukaryota|Basidiomycota|Agaricomycetes|Agaricales	0.0333815511294
1643682	order	2|201174|1760|1643682	Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales	0.127962612663
2231	order	2157|28890|183980|2231	Archaea|Euryarchaeota|Archaeoglobi|Archaeoglobales	0.0222543674196
2266	order	2157|28889|183924|2266	Archaea|Crenarchaeota|Thermoprotei|Thermoproteales	0.0611995104039
